iter	Passed	Remaining
0	15	13153
1	31	13516
2	48	13635
3	66	13995
4	82	13954
5	104	14757
6	115	13904
7	124	13062
8	132	12393
9	141	11925
10	149	11379
11	163	11434
12	174	11259
13	184	11026
14	193	10756
15	200	10457
16	209	10284
17	217	10062
18	225	9867
19	232	9667
20	239	9464
21	248	9369
22	258	9278
23	265	9145
24	274	9072
25	284	9010
26	292	8912
27	301	8848
28	309	8756
29	317	8669
30	326	8616
31	335	8569
32	342	8489
33	350	8406
34	359	8378
35	367	8299
36	376	8270
37	385	8240
38	394	8208
39	403	8179
40	413	8160
41	420	8090
42	429	8064
43	437	8018
44	448	8018
45	456	7974
46	466	7963
47	475	7946
48	484	7925
49	494	7910
50	503	7886
51	511	7851
52	520	7819
53	527	7778
54	536	7756
55	545	7729
56	552	7688
57	568	7756
58	577	7746
59	586	7723
60	595	7704
61	602	7658
62	610	7624
63	619	7611
64	627	7578
65	634	7538
66	643	7518
67	661	7605
68	673	7618
69	683	7615
70	692	7598
71	701	7577
72	710	7560
73	719	7544
74	728	7528
75	735	7495
76	743	7466
77	751	7439
78	760	7422
79	769	7410
80	779	7398
81	786	7370
82	794	7346
83	803	7322
84	810	7291
85	818	7272
86	826	7249
87	835	7235
88	845	7226
89	851	7194
90	861	7184
91	872	7189
92	883	7187
93	899	7237
94	911	7241
95	919	7222
96	932	7241
97	945	7253
98	955	7249
99	966	7250
100	974	7226
101	982	7204
102	991	7191
103	999	7170
104	1007	7150
105	1016	7137
106	1025	7124
107	1034	7105
108	1043	7091
109	1048	7052
110	1060	7059
111	1071	7057
112	1078	7032
113	1087	7022
114	1096	7010
115	1102	6978
116	1111	6965
117	1120	6953
118	1128	6934
119	1138	6925
120	1151	6938
121	1163	6941
122	1172	6929
123	1180	6914
124	1188	6893
125	1197	6883
126	1206	6870
127	1214	6848
128	1223	6837
129	1231	6823
130	1239	6801
131	1244	6769
132	1254	6760
133	1260	6736
134	1275	6753
135	1286	6754
136	1296	6746
137	1305	6737
138	1315	6726
139	1323	6712
140	1329	6683
141	1339	6676
142	1348	6667
143	1358	6658
144	1363	6628
145	1371	6613
146	1378	6594
147	1387	6582
148	1396	6567
149	1402	6543
150	1410	6527
151	1419	6517
152	1430	6514
153	1437	6496
154	1447	6488
155	1456	6480
156	1467	6477
157	1472	6449
158	1479	6431
159	1490	6425
160	1499	6416
161	1508	6405
162	1515	6387
