,Monthly Debt,Number of Open Accounts,Current Loan Amount,Number of Credit Problems,Annual Income,Credit Score_bin,Credit Score,Current Credit Balance,Maximum Open Credit,Bankruptcies,Months since last delinquent,Years of Credit History,Tax Liens,Term,Bankruptcies_bin,Bankruptcies_bin2,Home Ownership_0,Home Ownership_1,Home Ownership_2,Years in current job_0,Years in current job_1,Years in current job_10,Years in current job_11,Years in current job_2,Years in current job_3,Years in current job_4,Years in current job_5,Years in current job_6,Years in current job_7,Years in current job_8,Years in current job_9,Purpose_0,Purpose_1,Purpose_2,Purpose_3,Months since last delinquent_dummy_-1,Months since last delinquent_dummy_0,Months since last delinquent_dummy_1,Months since last delinquent_dummy_2,Months since last delinquent_dummy_3,Months since last delinquent_dummy_4,Months since last delinquent_dummy_5,Credit Default
1,18373.0,15.0,12.487368116993457,0,1025487.0,0,737.0,12.886572687116608,13.982490870675587,0,-10.0,15.3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
3,11338.0,8.0,11.706821445605327,1,805068.0,0,694.0,11.470602344323707,11.900912042974875,1,-10.0,22.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4,7180.0,13.0,11.74277448429944,1,776264.0,0,719.0,11.443682562228068,12.863170279469001,0,-10.0,13.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
5,18692.0,12.0,12.728742844539044,0,-10.0,0,-10.0,12.01781953178278,12.812531124307972,0,-10.0,14.6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
7,19761.0,13.0,12.432765889225223,0,1040060.0,0,705.0,11.396571407837536,12.70798365190659,0,18.0,12.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
8,17.0,17.0,11.773249187408721,1,-10.0,0,-10.0,2.995732273553991,0.0,1,-10.0,15.7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
9,17613.0,10.0,13.25843329524556,0,-10.0,0,-10.0,12.232393200595522,13.14471764844771,0,6.0,24.6,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
10,14592.0,7.0,12.305279767835733,0,-10.0,0,-10.0,12.141496790362362,12.454193646913488,0,-10.0,11.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
11,15528.0,12.0,12.997029153150084,0,1828560.0,0,737.0,12.906480900568322,13.64006252429349,0,-10.0,17.6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
12,19446.0,8.0,12.73011158764238,0,933432.0,0,706.0,12.661298874847812,13.002698822800781,0,-10.0,14.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
13,21869.0,11.0,13.21727529609504,0,2066364.0,0,728.0,13.851917701355044,14.318723478495416,0,-10.0,17.7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
14,58352.0,11.0,12.12953171613475,0,2258796.0,0,748.0,14.133475442343983,14.287104796520037,0,-10.0,17.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
15,12939.0,9.0,11.885419622741694,0,848464.0,0,727.0,10.632001876933364,12.598746290588663,0,-10.0,18.4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
16,18844.0,6.0,12.654083062399254,0,-10.0,0,-10.0,13.196258612645444,13.709586550241276,0,-10.0,17.8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
17,52249.0,14.0,13.120106833322703,0,3361898.0,0,644.0,13.443572581445338,13.856745587173958,0,-10.0,28.5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
18,13434.0,9.0,13.224174200350916,0,1401744.0,0,695.0,12.215973470207436,12.866756033446846,0,40.0,29.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
19,14451.0,6.0,12.643272181017755,0,1020072.0,0,712.0,11.699554398350486,12.201457009853586,0,-10.0,12.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
20,8742.0,11.0,13.279522669672039,0,1651993.0,0,697.0,12.440563571179686,13.405879283424184,0,44.0,26.5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
21,7786.0,7.0,12.691128051297587,0,1047394.0,0,719.0,12.120503863863007,12.90197851739972,0,45.0,34.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
